# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"67","F7","FALSE","PR-231213-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0779919500572743","","","24.31189743154262","0.8499328254733657","23.864608632805567","0.4713973103944385","FALSE","0.04","TRUE","3","21"
"68","F8","FALSE","PR-231213-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0935442131247766","","","24.89356059768302","0.8321901780628872","24.364268553004337","0.5603915700587689","FALSE","0.04","TRUE","3","22"
"69","F9","FALSE","PR-231213-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.097596726552514","","","21.138129432611855","0.8362245448658285","20.959996687988156","0.5575634913472366","FALSE","0.04","TRUE","3","18"
"70","F10","FALSE","PR-231213-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"73","G1","FALSE","PR-231211-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0791445393387116","","","23.287775541017346","0.8434952293904716","23.334348958544656","0.06897056250268686","FALSE","0.04","TRUE","3","20"
"74","G2","FALSE","PR-231211-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0801312961063787","","","23.46315715096177","0.8378660904137177","23.47447418170917","0.05584459623375248","FALSE","0.04","TRUE","3","20"
"75","G3","FALSE","PR-231211-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0853807873075756","","","23.36368025830324","0.8408626911122196","23.315069482688035","0.06334693222250706","FALSE","0.04","TRUE","3","20"
"76","G4","FALSE","PR-231211-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0846854232781071","","","21.63101797043143","0.8330056568789259","21.633552603055865","0.045687418343150106","FALSE","0.04","TRUE","3","18"
"77","G5","FALSE","PR-231211-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.6694869174467661","","","39.00364723282678","0.0","","","FALSE","0.04","TRUE","3","36"
"78","G6","FALSE","PR-231213-DN1-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0900720203577483","","","24.32767997148664","0.8491062801175799","23.80568039455685","0.7578373490581933","FALSE","0.04","TRUE","3","21"
"79","G7","FALSE","PR-231213-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0944998324213762","","","23.90959962228345","0.8430745887042861","23.864608632805567","0.4713973103944385","FALSE","0.04","TRUE","3","21"
"80","G8","FALSE","PR-231213-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.084424824154233","","","24.421998336787425","0.82755045255831","24.364268553004337","0.5603915700587689","FALSE","0.04","TRUE","3","21"
"81","G9","FALSE","PR-231213-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0905794222338836","","","21.406727470253394","0.8417197166054107","20.959996687988156","0.5575634913472366","FALSE","0.04","TRUE","3","18"
"82","G10","FALSE","PR-231213-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"85","H1","FALSE","PR-231211-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.073358064461764","","","23.41358319698231","0.851155485012688","23.334348958544656","0.06897056250268686","FALSE","0.04","TRUE","3","20"
"86","H2","FALSE","PR-231211-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0735436502698867","","","23.53511053388808","0.8332892567650851","23.47447418170917","0.05584459623375248","FALSE","0.04","TRUE","3","20"
"87","H3","FALSE","PR-231211-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0799438914754287","","","23.338098841023125","0.8409560476758359","23.315069482688035","0.06334693222250706","FALSE","0.04","TRUE","3","20"
"88","H4","FALSE","PR-231211-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.079735817909977","","","21.680454576404273","0.8368339091414184","21.633552603055865","0.045687418343150106","FALSE","0.04","TRUE","3","18"
"89","H5","FALSE","PR-231211-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"90","H6","FALSE","PR-231213-DN1-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0867474670858615","","","22.93644152572014","0.8374322260570564","23.80568039455685","0.7578373490581933","FALSE","0.04","TRUE","3","20"
"91","H7","FALSE","PR-231213-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0831208237992114","","","23.37232884459062","0.842321634902648","23.864608632805567","0.4713973103944385","FALSE","0.04","TRUE","3","20"
"92","H8","FALSE","PR-231213-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0722207892307853","","","23.777246724542557","0.8153834679887597","24.364268553004337","0.5603915700587689","FALSE","0.04","TRUE","3","21"
"93","H9","FALSE","PR-231213-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0866897781990894","","","20.335133161099222","0.834622775848046","20.959996687988156","0.5575634913472366","FALSE","0.04","TRUE","3","17"
"94","H10","FALSE","PR-231213-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
